period,cumulative count,count,,,,Resource,Year
2021-01,25690,25690,,,,DisProt,2021-01
2021-02,25764,74,,,,PED,2021-01
2021-03,26096,332,,,,Biomappings,2021-08
2021-04,26638,542,,,,Bioregistry,2022-09
2021-05,27810,1172,,,,Pfam,2022-11
2021-06,29963,2153,,,,PomBase,2023-01
2021-07,31631,1668,,,,Rfam,2023-06
2021-08,39689,8058,,,,BioModels,2023-12
2021-09,41465,1776,,,,Reactome,2023-12
2021-10,43058,1593,,,,IntAct,2023-12
2021-11,44537,1479,,,,Complex Portal,2023-12
2021-12,45191,654,,,,SABIO-RK,2024-01
2022-01,45429,238,,,,DOME Registry,2024-07
2022-02,46230,801,,,,PDBe,2024-11
2022-03,46271,41,,,,ELIXIR Training Materials,2024-11
2022-04,46301,30,,,,Glittr.org,2024-12
2022-07,46334,33,,,,microPublication,2025-02
2022-08,47132,798,,,,S3 School,2026-01
2022-09,48037,905,,,,,
2022-10,49566,1529,,,,,
2022-11,60195,10629,,,,,
2022-12,60690,495,,,,,
2023-01,61766,1076,,,,,
2023-02,62499,733,,,,,
2023-03,62891,392,,,,,
2023-04,63416,525,,,,,
2023-05,65644,2228,,,,,
2023-06,71877,6233,,,,,
2023-07,72887,1010,,,,,
2023-08,73885,998,,,,,
2023-09,74482,597,,,,,
2023-10,74526,44,,,,,
2023-11,75289,763,,,,,
2023-12,115104,39815,,,,,
2024-01,116962,1858,,,,,
2024-02,117998,1036,,,,,
2024-03,118780,782,,,,,
2024-04,119430,650,,,,,
2024-05,120791,1361,,,,,
2024-06,121216,425,,,,,
2024-07,121903,687,,,,,
2024-08,122568,665,,,,,
2024-09,123529,961,,,,,
2024-10,124629,1100,,,,,
2024-11,126670,2041,,,,,
2024-12,127235,565,,,,,
2025-01,128182,947,,,,,
2025-02,129436,1254,,,,,
2025-03,130690,1254,,,,,
2025-04,131904,1214,,,,,
2025-05,133012,1108,,,,,
2025-06,134285,1273,,,,,
2025-07,134968,683,,,,,
2025-08,137391,2423,,,,,
2025-09,139509,2118,,,,,
2025-10,141785,2276,,,,,
2025-11,144190,2405,,,,,
2025-12,145449,1259,,,,,
2026-01,146940,1491,,,,,
2026-02,148676,1736,,,,,
2026-03,153504,4828,,,,,
2026-04,153992,488,,,,,
